Month,Search
2010-07,6
2010-08,4
2010-09,4
2010-10,5
2010-11,5
2010-12,4
2011-01,5
2011-02,5
2011-03,5
2011-04,6
2011-05,5
2011-06,5
2011-07,4
2011-08,4
2011-09,4
2011-10,6
2011-11,5
2011-12,5
2012-01,5
2012-02,8
2012-03,6
2012-04,6
2012-05,7
2012-06,8
2012-07,8
2012-08,7
2012-09,8
2012-10,8
2012-11,12
2012-12,8
2013-01,9
2013-02,12
2013-03,12
2013-04,14
2013-05,23
2013-06,18
2013-07,18
2013-08,25
2013-09,19
2013-10,19
2013-11,19
2013-12,14
2014-01,14
2014-02,18
2014-03,21
2014-04,19
2014-05,20
2014-06,19
2014-07,22
2014-08,18
2014-09,18
2014-10,23
2014-11,16
2014-12,15
2015-01,19
2015-02,18
2015-03,18
2015-04,20
2015-05,27
2015-06,20
2015-07,22
2015-08,23
2015-09,24
2015-10,24
2015-11,19
2015-12,17
2016-01,19
2016-02,23
2016-03,26
2016-04,54
2016-05,26
2016-06,24
2016-07,28
2016-08,22
2016-09,22
2016-10,26
2016-11,24
2016-12,22
2017-01,22
2017-02,24
2017-03,24
2017-04,30
2017-05,30
2017-06,29
2017-07,43
2017-08,34
2017-09,29
2017-10,30
2017-11,45
2017-12,34
2018-01,34
2018-02,42
2018-03,32
2018-04,34
2018-05,36
2018-06,34
2018-07,39
2018-08,44
2018-09,45
2018-10,45
2018-11,35
2018-12,38
2019-01,37
2019-02,36
2019-03,53
2019-04,46
2019-05,49
2019-06,47
2019-07,46
2019-08,41
2019-09,42
2019-10,44
2019-11,100
2019-12,56
2020-01,55
2020-02,69
2020-03,51
2020-04,37
2020-05,46
2020-06,55
2020-07,74
2020-08,73
2020-09,85
2020-10,63
2020-11,57
2020-12,70
2021-01,83
2021-02,78
2021-03,74
2021-04,73
2021-05,72
2021-06,65
2021-07,62
2021-08,62
2021-09,57
2021-10,70
2021-11,79
2021-12,72
2022-01,66
2022-02,62
2022-03,82
2022-04,78
2022-05,76
2022-06,83
